"Fly_Number","DurNBodyShovePAL","DurNBodyShovePAN","DurNFeedPAL","DurNFeedPAN","DurNHeadbuttPAL","DurNHeadbuttPAN","DurNLegShovePAL","DurNLegShovePAN","DurNLungePAL","DurNLungePAN","DurNWingThreatPAL","DurNWingThreatPAN","DurNRetreatPAL","DurNRetreatPAN","DurNMovingPAL","DurNMovingPAN","DurNFencingPAL","DurNFencingPAN","DurTTFeedPAL","DurTTFeedPAN","DurTTMovingPAL","DurTTMovingPAN","DurTTFencingPAL","DurTTFencingPAN","DurXFeedPAL","DurXFeedPAN","DurXMovingPAL","DurXMovingPAN","DurXFencingPAL","DurXFencingPAN"
"A22_35",0,0,2,8,0,0,3,0,0,0,0,0,0,1,18,27,3,3,87.925,183.286,191.716,363.441,796.028,796.028,43.9625,22.91075,10.650889999999999,13.460780000000002,265.34267,265.34267
"A22_36",0,0,14,20,0,0,19,3,0,0,1,0,0,3,29,40,22,22,378.215,446.019,210.905,364.752,865.094,865.555,27.01536,22.30095,7.27259,9.118799999999998,39.322449999999996,39.343410000000006
"A31_42",0,0,3,6,0,0,7,0,1,0,0,0,0,1,21,37,4,4,96.091,222.855,139.075,237.301,488.97,488.97,32.03033,37.1425,6.6226199999999995,6.41354,122.2425,122.2425
"A32_47",0,0,15,4,0,0,25,7,0,4,0,0,0,11,24,40,20,20,687.003,23.277,138.585,642.163,891.129,891.129,45.8002,5.81925,5.77438,16.05408,44.55645,44.55645
"B11_3",0,0,1,5,0,0,2,2,1,2,0,1,2,0,23,14,5,5,14.022,384.241,127.673,89.441,829.565,829.565,14.022,76.84819999999999,5.551,6.3886400000000005,165.913,165.913
"B11_4",0,0,3,2,0,0,0,0,0,0,0,0,0,0,23,14,1,1,174.412,16.206,206.322,81.261,682.413,682.909,58.13733,8.103,8.97052,5.80436,682.413,682.909
"B12_7",0,0,2,11,0,0,3,0,1,0,0,0,2,1,25,28,5,5,28.029,422.707,135.445,272.53,850.333,850.333,14.0145,38.427910000000004,5.417800000000001,9.73321,170.0666,170.0666
"B21_14",0,0,4,15,0,0,6,0,2,0,0,0,0,3,25,31,4,4,15.36,326.342,123.23,323.467,828.036,828.036,3.84,21.756130000000002,4.9292,10.43442,207.009,207.009
"B22_19",0,0,5,4,0,0,6,2,0,0,0,0,1,2,10,18,10,10,402.43,227.387,155.795,168.105,597.85,597.85,80.486,56.84675,15.5795,9.33917,59.785,59.785
"B22_20",0,0,2,1,0,0,1,2,0,0,0,0,0,0,36,20,0,0,5.805,45.256,278.822,368.143,0,0,2.9025,45.256,7.7450600000000005,18.40715,0,0
"C11_2",0,0,4,0,0,0,3,3,0,0,0,0,0,1,10,29,10,10,408.165,0,107.125,378.666,880.61,880.61,102.04125,0,10.7125,13.057450000000001,88.061,88.061
"C11_3",1,0,2,4,0,0,6,1,0,0,1,0,1,0,10,9,7,7,376.845,167.625,105.908,86.433,357.843,357.843,188.4225,41.90625,10.5908,9.60367,51.12043,51.12043
"C12_10",0,0,11,12,0,0,4,5,0,0,1,1,1,8,24,48,15,16,590.551,166.327,140.883,522.453,900.003,900.003,53.686449999999994,13.86058,5.87012,10.88444,60.0002,56.25019
"C12_11",0,0,8,4,0,0,1,1,1,2,1,1,0,2,14,19,6,6,645.332,41.493,95.784,143.603,898.347,898.347,80.6665,10.37325,6.84171,7.558050000000001,149.7245,149.7245
"C12_7",0,0,4,9,0,0,1,0,0,0,0,0,0,1,27,35,2,2,19.099,167.196,275.224,293.887,727.206,727.71,4.77475,18.577330000000003,10.19348,8.39677,363.603,363.855
"C13_14",0,0,9,6,0,0,5,0,0,0,0,0,1,3,20,25,6,6,185.007,184.947,246.86,255.277,810.293,810.293,20.556330000000003,30.8245,12.343,10.211079999999999,135.04882999999998,135.04882999999998
"C13_16",0,0,6,6,0,0,14,4,0,0,2,0,0,2,20,18,12,12,261.272,433.145,310.553,255.503,532.499,532.499,43.54533,72.19083,15.52765,14.19461,44.374919999999996,44.374919999999996
"C13_17",0,0,3,14,0,1,5,2,0,0,0,0,2,2,11,26,11,11,122.229,526.914,271.52,262.976,849.102,848.684,40.743,37.63671,24.68364,10.11446,77.19109,77.15308999999999
"C13_18",0,0,4,2,0,0,0,0,0,0,0,1,0,0,21,29,0,0,35.314,132.156,405.479,280.904,0,0,8.8285,66.078,19.30852,9.68634,0,0
"C14_19",0,0,2,4,0,0,2,0,0,1,1,3,0,2,19,21,5,6,16.494,200.939,301.823,368.965,779.263,779.263,8.247,50.23475,15.88542,17.56976,155.8526,129.87717
"C14_22",0,0,3,4,0,0,7,1,1,0,1,2,0,4,19,17,9,9,26.278,290.734,181.659,153.523,832.564,832.564,8.75933,72.6835,9.561,9.03076,92.50711,92.50711
"C14_24",0,0,8,3,0,0,5,2,2,0,0,0,0,4,20,24,4,4,403.616,92.66,268.303,372.597,600.351,600.351,50.452,30.88667,13.415149999999999,15.52488,150.08775,150.08775
"C21_25",0,0,3,2,0,0,0,0,0,0,0,0,0,0,12,28,1,1,449.788,94.756,97.432,372.26,454.422,454.422,149.92933,47.378,8.11933,13.295,454.422,454.422
"C21_26",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,7,0,0,900.003,718.456,0,102.059,0,0,900.003,718.456,0,14.57986,0,0
"C21_30",0,1,2,12,0,0,5,0,0,1,0,0,0,1,7,19,8,8,260.188,448.8,49.174,218.246,660.848,660.848,130.094,37.4,7.024859999999999,11.48663,82.606,82.606
"C22_36",0,0,1,4,0,0,0,0,0,1,0,1,0,0,23,33,0,0,23.521,47.11,173.136,423.926,0,0,23.521,11.7775,7.5276499999999995,12.84624,0,0
"C23_38",0,0,4,3,0,0,1,0,1,0,0,0,0,1,27,38,3,3,183.152,66.059,218.85,326.869,809.029,809.029,45.788,22.019669999999998,8.10556,8.60182,269.67633,269.67633
"C23_42",0,0,1,3,0,0,1,0,0,0,0,0,0,0,6,4,0,0,224.724,884.119,38.979,19.761,0,0,224.724,294.70633000000004,6.4965,4.94025,0,0
"C24_44",0,0,3,3,0,0,2,0,0,0,0,1,0,0,24,13,3,3,11.815,133.99,134.347,224.19,774.984,774.984,3.93833,44.66333,5.59779,17.24538,258.328,258.328
"C24_46",0,0,1,3,0,0,0,0,0,0,0,0,0,0,13,24,4,3,5.715,129.862,518.35,359.854,405.657,752.983,5.715,43.287330000000004,39.87308,14.99392,101.41425,250.99433
"C31_50",0,0,2,8,0,0,7,0,0,0,0,0,0,3,24,25,10,9,165.538,434.024,226.246,324.837,895.129,881.615,82.769,54.253,9.42692,12.99348,89.51289999999999,97.95722
"C31_52",0,0,2,5,0,0,7,1,0,0,0,0,1,1,14,11,6,6,37.553,633.965,116.621,99.11,583.816,583.568,18.7765,126.793,8.33007,9.01,97.30266999999999,97.26133
"C32_55",0,0,7,5,0,0,1,0,0,0,0,0,1,1,19,18,7,7,65.646,184.408,222.759,521.957,872.106,871.86,9.378,36.8816,11.72416,28.99761,124.58657000000001,124.55143
"C32_60",0,0,3,3,0,0,4,1,0,0,0,0,0,0,12,12,4,4,424.286,172.894,180.974,121.963,879.867,879.867,141.42867,57.63133,15.08117,10.16358,219.96675,219.96675
"C33_63",0,0,2,12,0,0,5,2,0,0,0,0,0,2,10,21,10,10,201.671,674.732,116.636,169.458,887.623,888.121,100.8355,56.227669999999996,11.6636,8.06943,88.7623,88.8121
"C34_70",0,0,1,11,0,0,2,0,0,1,0,0,0,0,14,15,0,0,5.74,668.692,264.888,136.294,0,0,5.74,60.79018,18.92057,9.08627,0,0
"D12_10",1,0,7,6,0,0,20,7,0,0,0,0,0,1,16,12,11,11,221.119,220.577,209.49,348.622,854.091,854.091,31.58843,36.76283,13.09312,29.051830000000002,77.64464,77.64464
"D12_7",1,0,7,12,1,0,7,1,0,0,0,0,0,3,7,14,9,9,556.905,432.65,81.849,471.714,857.844,857.846,79.55786,36.05417,11.69271,33.69386,95.316,95.31622
"D12_8",1,0,8,4,0,0,16,6,0,0,1,0,2,0,33,17,14,14,92.819,432.721,370.664,102.737,601.081,601.332,11.602379999999998,108.18025,11.23224,6.04335,42.93436,42.95229
"D13_14",0,0,16,3,0,1,13,3,2,2,2,1,0,1,31,35,17,17,464.81,79.737,268.317,422.82,892.875,892.875,29.05062,26.579,8.655389999999999,12.08057,52.522059999999996,52.522059999999996
"D13_16",0,0,2,3,0,0,21,10,2,0,11,0,0,1,16,28,15,15,185.035,98.24,323.938,443.987,863.842,863.842,92.5175,32.74667,20.246119999999998,15.85668,57.58947,57.58947
"D14_20",0,0,0,7,0,0,0,0,0,0,0,0,0,0,22,20,0,0,0,703.75,128.502,104.91,0,0,0,100.53571000000001,5.841,5.2455,0,0
"D14_24",0,0,14,1,0,0,10,1,0,1,0,0,1,4,16,29,18,18,561.13,34.275,263.881,540.78,833.317,834.069,40.080709999999996,34.275,16.49256,18.64759,46.29539,46.33717
"D21_26",0,0,4,1,0,0,0,0,0,0,1,0,0,0,49,3,0,0,97.294,109.826,319.931,74.567,0,0,24.3235,109.826,6.5291999999999994,24.85567,0,0
"D21_30",0,0,1,4,0,0,4,1,0,0,0,0,0,0,22,16,6,6,65.761,481.159,278.99,167.645,851.833,851.833,65.761,120.28975,12.68136,10.47781,141.97217,141.97217
"D22_32",0,0,6,3,0,0,6,1,0,0,0,0,0,0,9,31,2,2,709.798,213.83,57.909,496.007,459.436,459.436,118.29966999999999,71.27667,6.43433,16.00023,229.718,229.718
"D22_34",0,0,2,7,0,0,1,0,0,0,0,0,0,0,25,17,0,0,54.748,325.814,337.525,396.331,0,0,27.374,46.54486,13.501,23.31359,0,0
"D23_39",0,0,1,6,0,0,7,0,0,0,0,0,0,0,19,11,8,8,33.776,645.559,214.093,117.524,870.343,870.343,33.776,107.59317,11.268049999999999,10.684,108.79288000000001,108.79288000000001
"D23_42",3,0,5,9,0,0,12,3,0,0,0,0,1,0,12,10,6,6,253.813,232.8,301.398,156.472,894.594,894.594,50.7626,25.86667,25.1165,15.647200000000002,149.099,149.099
"D24_44",0,0,5,2,0,0,4,0,0,0,0,0,0,2,26,23,2,3,87.243,30.792,354.28,351.65,609.586,608.842,17.4486,15.396,13.626149999999999,15.289129999999998,304.793,202.94733
"D24_46",0,0,2,14,0,0,1,0,0,0,0,0,3,0,27,41,5,5,3.848,344.478,548.377,298.839,877.614,877.614,1.924,24.60557,20.31026,7.28876,175.5228,175.5228
"D24_47",0,0,3,5,0,0,3,0,0,0,0,0,0,0,44,33,7,7,52.81,260.907,400.53,326.821,791.513,791.513,17.603330000000003,52.181400000000004,9.10295,9.90367,113.07329,113.07329
"D24_48",0,0,1,4,0,0,4,1,0,0,0,0,0,1,13,21,4,4,1.516,451.776,99.893,157.782,882.619,882.619,1.516,112.944,7.68408,7.5134300000000005,220.65475,220.65475
"D31_53",0,0,4,5,0,0,3,2,0,0,0,0,0,4,6,7,6,6,423.798,559.688,47.432,49.96,881.373,881.373,105.9495,111.9376,7.90533,7.1371400000000005,146.8955,146.8955
"D31_54",0,0,2,4,0,0,14,1,0,1,0,0,0,0,1,5,3,3,895.631,666.868,4.364,78.639,900.003,900.003,447.8155,166.717,4.364,15.727799999999998,300.001,300.001
"D32_56",0,0,4,1,0,0,0,0,1,0,0,0,0,2,9,25,2,2,479.494,6.011,185.764,298.922,874.351,874.351,119.8735,6.011,20.640439999999998,11.95688,437.1755,437.1755
"D32_57",0,0,2,7,0,0,5,2,1,1,1,0,0,6,25,40,9,9,14.278,107.993,463.746,585.798,885.844,885.844,7.139,15.42757,18.54984,14.644950000000001,98.42711,98.42711
"D32_58",0,0,2,4,0,0,19,3,0,0,0,1,1,1,5,20,17,17,717.651,168.509,149.652,453.198,751.486,751.486,358.8255,42.12725,29.930400000000002,22.6599,44.205059999999996,44.205059999999996
"D32_60",0,0,5,4,0,0,10,5,0,0,0,1,0,7,6,16,10,10,640.012,302.326,90.915,146.024,792.03,792.03,128.0024,75.5815,15.1525,9.1265,79.203,79.203
"D33_62",0,0,3,3,0,0,3,0,0,0,0,0,0,3,2,10,6,6,866.299,502.78,17.918,190.087,750.986,750.484,288.76633000000004,167.59332999999998,8.959,19.0087,125.16433,125.08067
"D33_64",0,0,4,10,0,0,2,1,0,0,0,0,0,2,7,26,8,8,491.447,490.342,66.538,235.498,759.98,759.98,122.86175,49.0342,9.50543,9.05762,94.9975,94.9975
"D33_65",0,0,1,8,0,0,7,1,0,0,0,0,1,0,20,14,5,5,164.826,732.149,121.984,124.042,855.839,855.839,164.826,91.51862,6.0992,8.86014,171.1678,171.1678
"D34_69",0,0,2,3,0,0,3,1,1,0,0,0,0,0,13,23,7,6,84.058,210.762,124.012,256.572,709.176,709.176,42.029,70.254,9.53938,11.155299999999999,101.31086,118.196
"A11_5",0,0,1,3,0,0,2,0,0,0,0,0,0,1,12,5,2,2,9.054,596.413,88.991,48.061,19.415,19.415,9.054,198.80433,7.41592,9.612200000000001,9.7075,9.7075
"C14_20",0,1,2,20,0,0,7,0,0,1,0,10,0,2,33,32,8,8,35.533,388.745,369.524,367.792,898.843,898.843,17.7665,19.43725,11.197700000000001,11.4935,112.35538000000001,112.35538000000001
"A31_40",0,0,5,9,0,0,11,0,0,0,0,0,0,3,5,26,8,8,830.944,363.16,32.229,276.129,667.438,666.932,166.1888,40.35111,6.4458,10.62035,83.42975,83.3665
"D22_36",0,0,10,9,0,0,11,5,0,0,0,4,1,2,13,21,10,10,715.528,195.632,183.979,383.882,814.053,814.053,71.5528,21.73689,14.15223,18.280099999999997,81.4053,81.4053
"D32_55",1,0,6,4,0,0,11,2,0,0,6,0,0,2,6,19,8,8,798.034,103.272,111.835,269.414,473.753,473.753,133.00567,25.818,18.63917,14.179680000000001,59.219120000000004,59.219120000000004
"D32_59",1,0,4,4,0,0,14,4,0,0,0,0,0,6,4,28,17,17,828.492,82.543,26.894,517.891,873.111,873.111,207.123,20.63575,6.7235,18.49611,51.35947,51.35947
"A31_39",0,0,0,11,0,0,3,1,0,0,0,0,0,0,20,42,1,1,0,272.215,148.232,296.09,260.752,261.243,0,24.74682,7.4116,7.04976,260.752,261.243
"B12_6",0,0,7,6,0,0,3,0,0,0,0,0,0,1,22,20,2,2,148.391,306.435,363.079,230.698,667.659,667.659,21.19871,51.0725,16.50359,11.5349,333.8295,333.8295
"D31_49",0,0,0,11,0,0,0,2,0,0,0,0,0,1,17,19,1,1,0,649.717,215.094,125.174,493.003,493.003,0,59.06518,12.65259,6.5881099999999995,493.003,493.003
"A21_26",0,0,3,2,0,0,4,0,2,0,0,0,0,2,11,22,3,3,300.403,32.064,110.043,323.854,878.351,879.346,100.13433,16.032,10.00391,14.72064,292.78367,293.11533000000003
"D22_35",0,0,2,10,0,0,1,0,0,0,0,0,0,1,23,40,2,2,493.979,193.389,250.884,306.278,448.692,448.692,246.9895,19.338900000000002,10.908,7.65695,224.346,224.346
"B11_1",0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,636.477,0,49.108,88.826,0,0,127.2954,0,8.18467,6.83277,0,0
"D23_40",0,0,0,3,0,0,1,0,0,0,0,0,0,0,9,21,3,3,0,287.947,105.627,425.234,369.4,368.652,0,95.98233,11.73633,20.24924,123.13333,122.884
