Fly_Number,file_name,Letter,Sex,Temp,temp_room,Species,Mass,mass_dif
A11_1,A11,A,F,M,24.6,PAN,NA,0.495
A11_1,A11,A,F,M,24.6,PAL,0.495,0.495
A11_2,A11,A,F,M,24.6,PAN,0.213,0.3380000000000001
A11_2,A11,A,F,M,24.6,PAL,0.551,0.3380000000000001
A11_3,A11,A,F,M,24.6,PAN,NA,0.323
A11_3,A11,A,F,M,24.6,PAL,0.323,0.323
A11_4,A11,A,F,M,24.6,PAN,0.242,0.22000000000000003
A11_4,A11,A,F,M,24.6,PAL,0.462,0.22000000000000003
A11_5,A11,A,F,M,24.6,PAN,NA,0.432
A11_5,A11,A,F,M,24.6,PAL,0.432,0.432
A11_6,A11,A,F,M,24.6,PAN,0.261,0.07600000000000001
A11_6,A11,A,F,M,24.6,PAL,0.337,0.07600000000000001
A12_7,A12,A,M,M,24.6,PAN,0.174,0.15300000000000002
A12_7,A12,A,M,M,24.6,PAL,0.327,0.15300000000000002
A12_8,A12,A,M,M,24.6,PAN,0.162,0.162
A12_8,A12,A,M,M,24.6,PAL,0.324,0.162
A12_9,A12,A,M,M,24.6,PAN,0.176,0.127
A12_9,A12,A,M,M,24.6,PAL,0.303,0.127
A12_10,A12,A,M,M,24.6,PAN,0.165,0.146
A12_10,A12,A,M,M,24.6,PAL,0.311,0.146
A12_11,A12,A,M,M,24.6,PAN,0.137,0.16299999999999998
A12_11,A12,A,M,M,24.6,PAL,0.3,0.16299999999999998
A12_12,A12,A,M,M,24.6,PAN,0.169,0.17699999999999996
A12_12,A12,A,M,M,24.6,PAL,0.346,0.17699999999999996
A13_13,A13,A,F,M,24.6,PAN,0.276,0.21399999999999997
A13_13,A13,A,F,M,24.6,PAL,0.49,0.21399999999999997
A13_14,A13,A,F,M,24.6,PAN,0.239,0.28800000000000003
A13_14,A13,A,F,M,24.6,PAL,0.527,0.28800000000000003
A13_15,A13,A,F,M,24.6,PAN,0.287,0.23600000000000004
A13_15,A13,A,F,M,24.6,PAL,0.523,0.23600000000000004
A13_16,A13,A,F,M,24.6,PAN,0.203,0.22099999999999997
A13_16,A13,A,F,M,24.6,PAL,0.424,0.22099999999999997
A13_17,A13,A,F,M,24.6,PAN,0.266,0.352
A13_17,A13,A,F,M,24.6,PAL,0.618,0.352
A13_18,A13,A,F,M,24.6,PAN,0.272,0.22799999999999998
A13_18,A13,A,F,M,24.6,PAL,0.5,0.22799999999999998
A14_19,A14,A,M,M,24.6,PAN,0.146,0.17
A14_19,A14,A,M,M,24.6,PAL,0.316,0.17
A14_20,A14,A,M,M,24.6,PAN,0.185,0.135
A14_20,A14,A,M,M,24.6,PAL,0.32,0.135
A14_21,A14,A,M,M,24.6,PAN,0.172,0.132
A14_21,A14,A,M,M,24.6,PAL,0.304,0.132
A14_22,A14,A,M,M,24.6,PAN,0.176,0.09900000000000003
A14_22,A14,A,M,M,24.6,PAL,0.275,0.09900000000000003
A14_23,A14,A,M,M,24.6,PAN,0.183,0.11399999999999999
A14_23,A14,A,M,M,24.6,PAL,0.297,0.11399999999999999
A14_24,A14,A,M,M,24.6,PAN,0.157,0.142
A14_24,A14,A,M,M,24.6,PAL,0.299,0.142
A21_25,A21,A,F,L,20.9,PAN,0.227,0.258
A21_25,A21,A,F,L,20.9,PAL,0.485,0.258
A21_26,A21,A,F,L,20.9,PAN,0.218,0.30600000000000005
A21_26,A21,A,F,L,20.9,PAL,0.524,0.30600000000000005
A21_27,A21,A,F,L,20.9,PAN,0.212,0.274
A21_27,A21,A,F,L,20.9,PAL,0.486,0.274
A21_28,A21,A,F,L,20.9,PAN,NA,0.453
A21_28,A21,A,F,L,20.9,PAL,0.453,0.453
A21_29,A21,A,F,L,20.9,PAN,0.205,0.30300000000000005
A21_29,A21,A,F,L,20.9,PAL,0.508,0.30300000000000005
A21_30,A21,A,F,L,20.9,PAN,0.159,0.29600000000000004
A21_30,A21,A,F,L,20.9,PAL,0.455,0.29600000000000004
A22_31,A22,A,M,L,21.6,PAN,NA,0.283
A22_31,A22,A,M,L,21.6,PAL,0.283,0.283
A22_32,A22,A,M,L,21.6,PAN,0.159,0.145
A22_32,A22,A,M,L,21.6,PAL,0.304,0.145
A22_33,A22,A,M,L,21.6,PAN,NA,0.3
A22_33,A22,A,M,L,21.6,PAL,0.3,0.3
A22_34,A22,A,M,L,21.6,PAN,0.155,-0.155
A22_34,A22,A,M,L,21.6,PAL,NA,-0.155
A22_35,A22,A,M,L,21.6,PAN,0.166,0.142
A22_35,A22,A,M,L,21.6,PAL,0.308,0.142
A22_36,A22,A,M,L,21.6,PAN,0.159,0.152
A22_36,A22,A,M,L,21.6,PAL,0.311,0.152
A31_37,A31,A,F,H,30.4,PAN,0.211,0.28500000000000003
A31_37,A31,A,F,H,30.4,PAL,0.496,0.28500000000000003
A31_38,A31,A,F,H,30.4,PAN,0.284,0.191
A31_38,A31,A,F,H,30.4,PAL,0.475,0.191
A31_39,A31,A,F,H,30.4,PAN,0.219,0.232
A31_39,A31,A,F,H,30.4,PAL,0.451,0.232
A31_40,A31,A,F,H,30.4,PAN,0.215,0.259
A31_40,A31,A,F,H,30.4,PAL,0.474,0.259
A31_41,A31,A,F,H,30.4,PAN,0.233,0.278
A31_41,A31,A,F,H,30.4,PAL,0.511,0.278
A31_42,A31,A,F,H,30.4,PAN,0.24,0.22300000000000003
A31_42,A31,A,F,H,30.4,PAL,0.463,0.22300000000000003
A32_43,A32,A,M,H,30.3,PAN,0.16,0.13699999999999998
A32_43,A32,A,M,H,30.3,PAL,0.297,0.13699999999999998
A32_44,A32,A,M,H,30.3,PAN,0.147,0.156
A32_44,A32,A,M,H,30.3,PAL,0.303,0.156
A32_45,A32,A,M,H,30.3,PAN,0.167,0.145
A32_45,A32,A,M,H,30.3,PAL,0.312,0.145
A32_46,A32,A,M,H,30.3,PAN,0.166,0.12099999999999997
A32_46,A32,A,M,H,30.3,PAL,0.287,0.12099999999999997
A32_47,A32,A,M,H,30.3,PAN,0.172,0.16700000000000004
A32_47,A32,A,M,H,30.3,PAL,0.339,0.16700000000000004
A32_48,A32,A,M,H,30.3,PAN,0.173,0.127
A32_48,A32,A,M,H,30.3,PAL,0.3,0.127
B11_1,B11,B,M,H,30.2,PAN,0.153,0.218
B11_1,B11,B,M,H,30.2,PAL,0.371,0.218
B11_2,B11,B,M,H,30.2,PAN,0.156,0.17300000000000001
B11_2,B11,B,M,H,30.2,PAL,0.329,0.17300000000000001
B11_3,B11,B,M,H,30.2,PAN,0.166,0.13799999999999998
B11_3,B11,B,M,H,30.2,PAL,0.304,0.13799999999999998
B11_4,B11,B,M,H,30.2,PAN,0.178,0.11499999999999999
B11_4,B11,B,M,H,30.2,PAL,0.293,0.11499999999999999
B11_5,B11,B,M,H,30.2,PAN,NA,NA
B11_5,B11,B,M,H,30.2,PAL,NA,NA
B12_6,B12,B,F,H,30.2,PAN,0.205,0.23
B12_6,B12,B,F,H,30.2,PAL,0.435,0.23
B12_7,B12,B,F,H,30.2,PAN,0.296,0.26999999999999996
B12_7,B12,B,F,H,30.2,PAL,0.566,0.26999999999999996
B12_8,B12,B,F,H,30.2,PAN,0.215,0.24400000000000002
B12_8,B12,B,F,H,30.2,PAL,0.459,0.24400000000000002
B12_9,B12,B,F,H,30.2,PAN,NA,NA
B12_9,B12,B,F,H,30.2,PAL,NA,NA
B12_10,B12,B,F,H,30.2,PAN,0.204,0.30100000000000005
B12_10,B12,B,F,H,30.2,PAL,0.505,0.30100000000000005
B21_11,B21,B,M,L,20.9,PAN,0.162,0.154
B21_11,B21,B,M,L,20.9,PAL,0.316,0.154
B21_12,B21,B,M,L,20.9,PAN,0.184,0.17099999999999999
B21_12,B21,B,M,L,20.9,PAL,0.355,0.17099999999999999
B21_13,B21,B,M,L,20.9,PAN,NA,NA
B21_13,B21,B,M,L,20.9,PAL,NA,NA
B21_14,B21,B,M,L,20.9,PAN,0.186,0.14600000000000002
B21_14,B21,B,M,L,20.9,PAL,0.332,0.14600000000000002
B21_15,B21,B,M,L,20.9,PAN,NA,NA
B21_15,B21,B,M,L,20.9,PAL,NA,NA
B22_16,B22,B,F,L,21.2,PAN,0.203,0.35500000000000004
B22_16,B22,B,F,L,21.2,PAL,0.558,0.35500000000000004
B22_17,B22,B,F,L,21.2,PAN,0.225,0.396
B22_17,B22,B,F,L,21.2,PAL,0.621,0.396
B22_18,B22,B,F,L,21.2,PAN,NA,NA
B22_18,B22,B,F,L,21.2,PAL,NA,NA
B22_19,B22,B,F,L,21.2,PAN,0.257,0.34199999999999997
B22_19,B22,B,F,L,21.2,PAL,0.599,0.34199999999999997
B22_20,B22,B,F,L,21.2,PAN,0.246,0.33399999999999996
B22_20,B22,B,F,L,21.2,PAL,0.58,0.33399999999999996
B31_21,B31,B,M,M,25.5,PAN,NA,NA
B31_21,B31,B,M,M,25.5,PAL,NA,NA
B31_22,B31,B,M,M,25.5,PAN,0.152,0.169
B31_22,B31,B,M,M,25.5,PAL,0.321,0.169
B31_23,B31,B,M,M,25.5,PAN,NA,NA
B31_23,B31,B,M,M,25.5,PAL,NA,NA
B31_24,B31,B,M,M,25.5,PAN,NA,NA
B31_24,B31,B,M,M,25.5,PAL,NA,NA
B31_25,B31,B,M,M,25.5,PAN,NA,NA
B31_25,B31,B,M,M,25.5,PAL,NA,NA
B32_26,B32,B,F,M,25.5,PAN,0.236,0.354
B32_26,B32,B,F,M,25.5,PAL,0.59,0.354
B32_27,B32,B,F,M,25.5,PAN,0.227,0.395
B32_27,B32,B,F,M,25.5,PAL,0.622,0.395
B32_28,B32,B,F,M,25.5,PAN,NA,NA
B32_28,B32,B,F,M,25.5,PAL,NA,NA
B32_29,B32,B,F,M,25.5,PAN,0.225,0.256
B32_29,B32,B,F,M,25.5,PAL,0.481,0.256
B32_30,B32,B,F,M,25.5,PAN,0.226,0.28700000000000003
B32_30,B32,B,F,M,25.5,PAL,0.513,0.28700000000000003
C11_1,C11,C,F,L,20.9,PAN,0.251,0.30500000000000005
C11_1,C11,C,F,L,20.9,PAL,0.556,0.30500000000000005
C11_2,C11,C,F,L,20.9,PAN,0.242,0.21700000000000003
C11_2,C11,C,F,L,20.9,PAL,0.459,0.21700000000000003
C11_3,C11,C,F,L,20.9,PAN,0.293,0.25200000000000006
C11_3,C11,C,F,L,20.9,PAL,0.545,0.25200000000000006
C11_4,C11,C,F,L,20.9,PAN,0.25,0.22699999999999998
C11_4,C11,C,F,L,20.9,PAL,0.477,0.22699999999999998
C11_5,C11,C,F,L,20.9,PAN,0.246,0.25
C11_5,C11,C,F,L,20.9,PAL,0.496,0.25
C11_6,C11,C,F,L,20.9,PAN,0.22,0.234
C11_6,C11,C,F,L,20.9,PAL,0.454,0.234
C12_7,C12,C,M,L,20.9,PAN,0.179,0.10000000000000003
C12_7,C12,C,M,L,20.9,PAL,0.279,0.10000000000000003
C12_8,C12,C,M,L,20.9,PAN,0.176,0.133
C12_8,C12,C,M,L,20.9,PAL,0.309,0.133
C12_9,C12,C,M,L,20.9,PAN,0.174,0.14900000000000002
C12_9,C12,C,M,L,20.9,PAL,0.323,0.14900000000000002
C12_10,C12,C,M,L,20.9,PAN,0.175,0.124
C12_10,C12,C,M,L,20.9,PAL,0.299,0.124
C12_11,C12,C,M,L,20.9,PAN,0.174,0.173
C12_11,C12,C,M,L,20.9,PAL,0.347,0.173
C12_12,C12,C,M,L,20.9,PAN,0.189,0.14
C12_12,C12,C,M,L,20.9,PAL,0.329,0.14
C13_13,C13,C,F,L,20.9,PAN,0.238,0.28400000000000003
C13_13,C13,C,F,L,20.9,PAL,0.522,0.28400000000000003
C13_14,C13,C,F,L,20.9,PAN,NA,0.537
C13_14,C13,C,F,L,20.9,PAL,0.537,0.537
C13_15,C13,C,F,L,20.9,PAN,0.213,0.24700000000000003
C13_15,C13,C,F,L,20.9,PAL,0.46,0.24700000000000003
C13_16,C13,C,F,L,20.9,PAN,0.286,0.189
C13_16,C13,C,F,L,20.9,PAL,0.475,0.189
C13_17,C13,C,F,L,20.9,PAN,0.26,0.256
C13_17,C13,C,F,L,20.9,PAL,0.516,0.256
C13_18,C13,C,F,L,20.9,PAN,0.229,0.24499999999999997
C13_18,C13,C,F,L,20.9,PAL,0.474,0.24499999999999997
C14_19,C14,C,M,L,20.9,PAN,0.152,0.155
C14_19,C14,C,M,L,20.9,PAL,0.307,0.155
C14_20,C14,C,M,L,20.9,PAN,0.167,0.169
C14_20,C14,C,M,L,20.9,PAL,0.336,0.169
C14_21,C14,C,M,L,20.9,PAN,NA,0.328
C14_21,C14,C,M,L,20.9,PAL,0.328,0.328
C14_22,C14,C,M,L,20.9,PAN,0.174,0.10600000000000004
C14_22,C14,C,M,L,20.9,PAL,0.28,0.10600000000000004
C14_23,C14,C,M,L,20.9,PAN,0.174,0.14500000000000002
C14_23,C14,C,M,L,20.9,PAL,0.319,0.14500000000000002
C14_24,C14,C,M,L,20.9,PAN,NA,0.344
C14_24,C14,C,M,L,20.9,PAL,0.344,0.344
C21_25,C21,C,F,H,30,PAN,0.202,0.321
C21_25,C21,C,F,H,30,PAL,0.523,0.321
C21_26,C21,C,F,H,30,PAN,0.265,0.22199999999999998
C21_26,C21,C,F,H,30,PAL,0.487,0.22199999999999998
C21_27,C21,C,F,H,30,PAN,0.241,0.33699999999999997
C21_27,C21,C,F,H,30,PAL,0.578,0.33699999999999997
C21_28,C21,C,F,H,30,PAN,0.247,0.30800000000000005
C21_28,C21,C,F,H,30,PAL,0.555,0.30800000000000005
C21_29,C21,C,F,H,30,PAN,0.293,0.21800000000000003
C21_29,C21,C,F,H,30,PAL,0.511,0.21800000000000003
C21_30,C21,C,F,H,30,PAN,0.259,0.32599999999999996
C21_30,C21,C,F,H,30,PAL,0.585,0.32599999999999996
C22_31,C22,C,M,H,30,PAN,0.188,0.135
C22_31,C22,C,M,H,30,PAL,0.323,0.135
C22_32,C22,C,M,H,30,PAN,0.173,0.16300000000000003
C22_32,C22,C,M,H,30,PAL,0.336,0.16300000000000003
C22_33,C22,C,M,H,30,PAN,0.158,0.147
C22_33,C22,C,M,H,30,PAL,0.305,0.147
C22_34,C22,C,M,H,30,PAN,0.311,-0.05499999999999999
