Fly_Number,DurNBodyShove,DurNFeed,DurNHeadbutt,DurNLegShove,DurNLunge,DurNWingThreat,DurNRetreat,DurNMoving,DurNFencing,DurTTFeed,DurTTMoving,DurTTFencing,DurXFeed,DurXMoving,DurXFencing,Species,file_name,Letter,Sex,Temp,temp_room,Mass,mass_dif,fencing_presence,total_ag_acts
B32_26,1,3,0,0,0,0,0,18,3,36.013,121.849,351.101,12.00433,6.7693900000000005,117.03367,PAL,B32,B,F,M,25.5,0.59,0.354,1,4
B32_29,0,1,0,0,0,0,0,14,1,35.534,113.672,314.684,35.534,8.11943,314.684,PAL,B32,B,F,M,25.5,0.481,0.256,1,1
B32_30,0,5,0,5,0,0,1,21,7,135.406,227.384,757.029,27.0812,10.82781,108.147,PAL,B32,B,F,M,25.5,0.513,0.28700000000000003,1,12
A14_19,0,1,1,0,0,0,0,23,2,11.505,255.874,558.421,11.505,11.12496,279.2105,PAL,A14,A,M,M,24.6,0.316,0.17,1,3
D13_15,0,0,0,0,0,0,1,15,2,0,265.036,4.005,0,17.66907,2.0025,PAL,D13,D,M,M,25.1,0.297,0.13599999999999998,1,2
C11_6,0,2,0,8,0,0,0,4,4,230.667,46.405,227.678,115.3335,11.60125,56.9195,PAL,C11,C,F,L,20.9,0.454,0.234,1,12
A32_45,0,0,0,0,0,0,0,11,0,0,110.204,0,0,10.01855,0,PAL,A32,A,M,H,30.3,0.312,0.145,0,0
C21_29,0,0,0,0,0,0,0,12,0,0,92.005,0,0,7.66708,0,PAL,C21,C,F,H,30,0.511,0.21800000000000003,0,0
C32_56,0,0,0,0,0,0,0,10,1,0,99.976,327.814,0,9.9976,327.814,PAL,C32,C,M,M,25,0.342,0.18900000000000003,1,1
D13_17,0,0,0,4,0,0,0,22,5,0,403.895,607.834,0,18.35886,121.5668,PAL,D13,D,M,M,25.1,0.306,0.157,1,9
A11_2,0,0,0,1,0,0,0,23,0,0,218.841,0,0,9.51483,0,PAL,A11,A,F,M,24.6,0.551,0.3380000000000001,0,1
A11_3,0,0,0,1,0,0,0,21,1,0,286.348,790.023,0,13.635620000000001,790.023,PAL,A11,A,F,M,24.6,0.323,0.323,1,2
A11_6,0,0,0,2,0,0,3,19,3,0,187.9,705.186,0,9.88947,235.062,PAL,A11,A,F,M,24.6,0.337,0.07600000000000001,1,5
A12_11,0,0,0,4,0,0,0,15,1,0,311.926,722.959,0,20.79507,722.959,PAL,A12,A,M,M,24.6,0.3,0.16299999999999998,1,5
A12_12,0,0,0,4,1,0,1,17,2,0,332.997,793.025,0,19.588060000000002,396.5125,PAL,A12,A,M,M,24.6,0.346,0.17699999999999996,1,7
A13_13,0,0,0,2,0,0,0,13,2,0,137.15,386.615,0,10.55,193.3075,PAL,A13,A,F,M,24.6,0.49,0.21399999999999997,1,4
A14_21,0,0,1,2,0,0,0,27,1,0,370.8,220.94,0,13.73333,220.94,PAL,A14,A,M,M,24.6,0.304,0.132,1,4
A14_22,0,0,0,0,0,0,0,17,1,0,172.553,520.245,0,10.15018,520.245,PAL,A14,A,M,M,24.6,0.275,0.09900000000000003,1,1
A14_23,0,0,0,0,0,0,0,11,0,0,125.812,0,0,11.43745,0,PAL,A14,A,M,M,24.6,0.297,0.11399999999999999,0,0
A14_24,0,0,0,0,0,0,0,10,0,0,139.533,0,0,13.953299999999999,0,PAL,A14,A,M,M,24.6,0.299,0.142,0,0
A22_31,0,0,0,0,0,0,0,9,0,0,133.912,0,0,14.87911,0,PAL,A22,A,M,L,21.6,0.283,0.283,0,0
A31_37,0,3,0,2,0,0,0,18,2,390.154,203.087,801.006,130.05133,11.28261,400.503,PAL,A31,A,F,H,30.4,0.496,0.28500000000000003,1,4
A32_43,0,0,0,0,0,0,1,22,2,0,289.469,317.551,0,13.157680000000001,158.7755,PAL,A32,A,M,H,30.3,0.297,0.13699999999999998,1,2
A32_44,0,0,0,0,0,0,0,27,0,0,373.684,0,0,13.84015,0,PAL,A32,A,M,H,30.3,0.303,0.156,0,0
A32_48,0,0,0,0,0,0,0,20,0,0,242.234,0,0,12.1117,0,PAL,A32,A,M,H,30.3,0.3,0.127,0,0
B12_10,0,0,0,7,0,0,1,7,4,0,110.7,845.319,0,15.814290000000002,211.32975,PAL,B12,B,F,H,30.2,0.505,0.30100000000000005,1,11
B12_8,0,0,0,1,0,0,0,17,0,0,142.419,0,0,8.37759,0,PAL,B12,B,F,H,30.2,0.459,0.24400000000000002,0,1
B21_11,0,2,0,2,1,0,0,15,4,8.795,216.909,620.355,4.3975,14.460600000000001,155.08875,PAL,B21,B,M,L,20.9,0.316,0.154,1,7
B31_22,0,0,0,2,0,0,0,5,2,0,168.528,481.464,0,33.7056,240.732,PAL,B31,B,M,M,25.5,0.321,0.169,1,4
C11_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PAL,C11,C,F,L,20.9,0.477,0.22699999999999998,0,0
C11_5,0,1,0,2,0,0,0,25,1,19.349,168.726,645.378,19.349,6.74904,645.378,PAL,C11,C,F,L,20.9,0.496,0.25,1,3
C12_8,0,6,0,4,1,2,1,47,6,64.127,332.957,722.95,10.68783,7.0841899999999995,120.49167,PAL,C12,C,M,L,20.9,0.309,0.133,1,13
C12_9,0,0,0,1,0,0,0,19,3,0,158.71,832.058,0,8.353159999999999,277.35267,PAL,C12,C,M,L,20.9,0.323,0.14900000000000002,1,4
C13_15,0,1,0,4,0,1,0,0,7,900.002,0,875.856,900.002,0,125.12228999999999,PAL,C13,C,F,L,20.9,0.46,0.24700000000000003,1,12
C22_31,0,0,0,0,0,0,0,19,1,0,247.835,163.645,0,13.04395,163.645,PAL,C22,C,M,H,30,0.323,0.135,1,1
C22_33,0,1,0,4,0,0,0,24,3,21.028,248.411,783.012,21.028,10.35046,261.004,PAL,C22,C,M,H,30,0.305,0.147,1,7
C23_37,0,0,0,1,0,0,0,11,1,0,98.994,765.002,0,8.999450000000001,765.002,PAL,C23,C,F,H,30,0.532,0.334,1,2
C23_40,0,0,0,0,0,0,0,20,0,0,318.647,0,0,15.93235,0,PAL,C23,C,F,H,30,0.566,0.2919999999999999,0,0
C23_41,0,1,0,2,0,0,0,23,1,123.523,249.901,214.33,123.523,10.865260000000001,214.33,PAL,C23,C,F,H,30,0.416,0.416,1,3
C24_43,0,1,0,2,0,0,0,10,1,16.32,88.949,833.695,16.32,8.8949,833.695,PAL,C24,C,M,H,30,0.293,0.10499999999999998,1,3
C24_45,0,0,0,1,0,0,0,5,2,0,36.376,503.573,0,7.2752,251.7865,PAL,C24,C,M,H,30,0.324,0.14800000000000002,1,3
C24_48,0,2,0,1,1,0,0,20,4,22.759,152.845,868.602,11.3795,7.64225,217.1505,PAL,C24,C,M,H,30,0.357,0.183,1,6
C31_49,0,0,0,0,0,0,0,21,0,0,304.527,0,0,14.501290000000001,0,PAL,C31,C,F,M,25,0.46,0.46,0,0
C31_53,0,0,0,1,0,0,1,12,4,0,165.808,834.301,0,13.81733,208.57525,PAL,C31,C,F,M,25,0.586,0.33499999999999996,1,5
C32_57,0,0,0,1,0,0,1,12,3,0,122.921,599.088,0,10.24342,199.696,PAL,C32,C,M,M,25,0.314,0.14,1,4
C32_58,0,0,0,2,0,0,0,14,2,0,137.748,79.571,0,9.839139999999999,39.7855,PAL,C32,C,M,M,25,0.34,0.18200000000000002,1,4
C33_65,0,0,0,0,0,0,0,7,0,0,80.797,0,0,11.54243,0,PAL,C33,C,F,M,25,0.481,0.196,0,0
C33_66,0,0,0,0,0,0,2,19,2,0,281.496,864.345,0,14.81558,432.1725,PAL,C33,C,F,M,25,0.553,0.553,1,2
C34_67,0,0,0,0,0,0,0,19,1,0,167.199,192.784,0,8.79995,192.784,PAL,C34,C,M,M,25,0.299,0.11199999999999999,1,1
C34_68,0,4,0,0,0,0,0,30,2,63.344,320.719,207.68,15.836,10.690629999999999,103.84,PAL,C34,C,M,M,25,0.333,0.164,1,2
C34_69,0,2,0,3,0,0,0,21,5,716.454,892.562,717.449,358.227,42.50295,143.4898,PAL,C34,C,M,M,25,0.329,0.168,1,8
C34_71,0,0,0,1,0,0,0,13,1,0,392.347,227.21,0,30.18054,227.21,PAL,C34,C,M,M,25,0.323,0.18000000000000002,1,2
D12_11,0,0,0,0,0,0,0,23,0,0,162.282,0,0,7.05574,0,PAL,D12,D,F,M,25.3,0.454,0.21100000000000002,0,0
D12_12,0,0,0,0,0,0,0,8,0,0,70.815,0,0,8.85188,0,PAL,D12,D,F,M,25.3,0.489,0.317,0,0
D12_9,0,8,0,3,0,0,0,24,2,398.979,174.233,473.207,49.87238,7.25971,236.6035,PAL,D12,D,F,M,25.3,0.453,0.19,1,5
D13_18,0,10,0,0,0,0,0,18,1,629.792,236.605,464.947,62.9792,13.14472,464.947,PAL,D13,D,M,M,25.1,NA,-0.167,1,1
D14_19,0,17,0,2,0,0,0,30,1,381.885,245.674,517.989,22.46382,8.18913,517.989,PAL,D14,D,F,M,25.3,0.403,0.24900000000000003,1,3
D14_21,0,0,0,0,0,0,0,24,0,0,311.131,0,0,12.963790000000001,0,PAL,D14,D,F,M,25.3,0.508,0.238,0,0
D14_23,0,0,0,0,0,0,0,18,0,0,271.256,0,0,15.069780000000002,0,PAL,D14,D,F,M,25.3,0.455,0.21900000000000003,0,0
D21_27,0,4,0,0,1,0,0,6,4,840.319,38.795,861.338,210.07975,6.4658299999999995,215.3345,PAL,D21,D,M,H,30.6,0.334,0.334,1,5
D21_29,0,0,0,1,0,0,0,15,1,0,203.775,421.657,0,13.585,421.657,PAL,D21,D,M,H,30.6,0.276,0.276,1,2
D23_37,0,0,0,1,0,0,0,20,2,0,277.598,690.416,0,13.8799,345.208,PAL,D23,D,M,H,30.3,0.29,0.29,1,3
D24_45,0,0,0,1,1,0,0,31,0,0,289.663,0,0,9.343969999999999,0,PAL,D24,D,F,H,30.3,0.456,0.233,0,2
D31_50,0,0,0,1,0,0,0,5,1,0,64.494,82.353,0,12.8988,82.353,PAL,D31,D,M,L,20.6,0.32,0.10600000000000001,1,2
D31_51,0,0,0,0,0,0,0,5,0,0,215.313,0,0,43.062599999999996,0,PAL,D31,D,M,L,20.6,0.27,0.09600000000000003,0,0
D33_63,0,0,0,0,0,0,0,1,0,0,13.717,0,0,13.717,0,PAL,D33,D,M,L,21.1,0.273,0.11500000000000002,0,0
D34_67,0,3,0,5,0,0,0,19,6,68.169,310.813,900.002,22.723,16.35858,150.00033,PAL,D34,D,F,L,21.3,0.446,0.216,1,11
D34_68,0,0,0,2,0,0,0,8,1,0,122.267,6.005,0,15.28338,6.005,PAL,D34,D,F,L,21.3,0.449,0.24500000000000002,1,3
D34_70,0,2,0,2,0,0,0,16,14,284.413,272.742,897.343,142.2065,17.046380000000003,64.09593,PAL,D34,D,F,L,21.3,0.455,0.252,1,16
A11_4,0,3,0,6,0,0,0,19,4,18.729,133.007,457.944,6.243,7.00037,114.486,PAL,A11,A,F,M,24.6,0.462,0.22000000000000003,1,10
A12_10,0,1,0,6,1,0,1,18,7,9.019,148.094,734.46,9.019,8.22744,104.92286,PAL,A12,A,M,M,24.6,0.311,0.146,1,14
A12_7,0,1,0,1,0,0,1,22,1,2.469,300.868,357.931,2.469,13.67582,357.931,PAL,A12,A,M,M,24.6,0.327,0.15300000000000002,1,2
A12_8,0,2,0,2,0,0,0,39,4,7.284,293.432,646.88,3.642,7.523899999999999,161.72,PAL,A12,A,M,M,24.6,0.324,0.162,1,6
A12_9,0,2,0,6,0,0,2,26,5,6.76,286.452,706.879,3.38,11.01738,141.3758,PAL,A12,A,M,M,24.6,0.303,0.127,1,11
A13_14,0,1,0,0,0,0,0,15,2,2.254,154.391,387.357,2.254,10.292729999999999,193.6785,PAL,A13,A,F,M,24.6,0.527,0.28800000000000003,1,2
A13_16,0,4,0,1,0,0,0,9,3,731.362,98.393,895.876,182.8405,10.932559999999999,298.62533,PAL,A13,A,F,M,24.6,0.424,0.22099999999999997,1,4
A13_18,0,5,0,9,0,4,1,24,15,47.842,302.253,870.353,9.5684,12.593879999999999,58.02353,PAL,A13,A,F,M,24.6,0.5,0.22799999999999998,1,28
A21_28,0,1,0,2,0,0,1,8,4,202.936,70.374,415.879,202.936,8.79675,103.96975,PAL,A21,A,F,L,20.9,0.453,0.453,1,6
A21_29,0,3,0,6,0,0,0,1,3,879.51,8.505,725.934,293.17,8.505,241.978,PAL,A21,A,F,L,20.9,0.508,0.30300000000000005,1,9
A22_33,0,4,0,6,0,0,0,3,10,815.375,46.622,753.473,203.84375,15.54067,75.3473,PAL,A22,A,M,L,21.6,0.3,0.3,1,16
A22_34,0,7,0,4,0,0,1,24,5,173.15,201.727,725.708,24.735709999999997,8.40529,145.1416,PAL,A22,A,M,L,21.6,NA,-0.155,1,9
A22_35,0,2,0,3,0,0,0,18,3,87.925,191.716,796.028,43.9625,10.650889999999999,265.34267,PAL,A22,A,M,L,21.6,0.308,0.142,1,6
A22_36,0,14,0,19,0,1,0,29,22,378.215,210.905,865.094,27.01536,7.27259,39.322449999999996,PAL,A22,A,M,L,21.6,0.311,0.152,1,42
A31_42,0,3,0,7,1,0,0,21,4,96.091,139.075,488.97,32.03033,6.6226199999999995,122.2425,PAL,A31,A,F,H,30.4,0.463,0.22300000000000003,1,12
A32_47,0,15,0,25,0,0,0,24,20,687.003,138.585,891.129,45.8002,5.77438,44.55645,PAL,A32,A,M,H,30.3,0.339,0.16700000000000004,1,45
B11_3,0,1,0,2,1,0,2,23,5,14.022,127.673,829.565,14.022,5.551,165.913,PAL,B11,B,M,H,30.2,0.304,0.13799999999999998,1,8
B11_4,0,3,0,0,0,0,0,23,1,174.412,206.322,682.413,58.13733,8.97052,682.413,PAL,B11,B,M,H,30.2,0.293,0.11499999999999999,1,1
B12_7,0,2,0,3,1,0,2,25,5,28.029,135.445,850.333,14.0145,5.417800000000001,170.0666,PAL,B12,B,F,H,30.2,0.566,0.26999999999999996,1,9
B21_14,0,4,0,6,2,0,0,25,4,15.36,123.23,828.036,3.84,4.9292,207.009,PAL,B21,B,M,L,20.9,0.332,0.14600000000000002,1,12
B22_19,0,5,0,6,0,0,1,10,10,402.43,155.795,597.85,80.486,15.5795,59.785,PAL,B22,B,F,L,21.2,0.599,0.34199999999999997,1,16
B22_20,0,2,0,1,0,0,0,36,0,5.805,278.822,0,2.9025,7.7450600000000005,0,PAL,B22,B,F,L,21.2,0.58,0.33399999999999996,0,1
C11_2,0,4,0,3,0,0,0,10,10,408.165,107.125,880.61,102.04125,10.7125,88.061,PAL,C11,C,F,L,20.9,0.459,0.21700000000000003,1,13
C11_3,1,2,0,6,0,1,1,10,7,376.845,105.908,357.843,188.4225,10.5908,51.12043,PAL,C11,C,F,L,20.9,0.545,0.25200000000000006,1,15
C12_10,0,11,0,4,0,1,1,24,15,590.551,140.883,900.003,53.686449999999994,5.87012,60.0002,PAL,C12,C,M,L,20.9,0.299,0.124,1,20
C12_11,0,8,0,1,1,1,0,14,6,645.332,95.784,898.347,80.6665,6.84171,149.7245,PAL,C12,C,M,L,20.9,0.347,0.173,1,9
C12_7,0,4,0,1,0,0,0,27,2,19.099,275.224,727.206,4.77475,10.19348,363.603,PAL,C12,C,M,L,20.9,0.279,0.10000000000000003,1,3
C13_14,0,9,0,5,0,0,1,20,6,185.007,246.86,810.293,20.556330000000003,12.343,135.04882999999998,PAL,C13,C,F,L,20.9,0.537,0.537,1,11
C13_16,0,6,0,14,0,2,0,20,12,261.272,310.553,532.499,43.54533,15.52765,44.374919999999996,PAL,C13,C,F,L,20.9,0.475,0.189,1,28
C13_17,0,3,0,5,0,0,2,11,11,122.229,271.52,849.102,40.743,24.68364,77.19109,PAL,C13,C,F,L,20.9,0.516,0.256,1,16
C13_18,0,4,0,0,0,0,0,21,0,35.314,405.479,0,8.8285,19.30852,0,PAL,C13,C,F,L,20.9,0.474,0.24499999999999997,0,0
C14_19,0,2,0,2,0,1,0,19,5,16.494,301.823,779.263,8.247,15.88542,155.8526,PAL,C14,C,M,L,20.9,0.307,0.155,1,8
C14_22,0,3,0,7,1,1,0,19,9,26.278,181.659,832.564,8.75933,9.561,92.50711,PAL,C14,C,M,L,20.9,0.28,0.10600000000000004,1,18
C14_24,0,8,0,5,2,0,0,20,4,403.616,268.303,600.351,50.452,13.415149999999999,150.08775,PAL,C14,C,M,L,20.9,0.344,0.344,1,11
C21_25,0,3,0,0,0,0,0,12,1,449.788,97.432,454.422,149.92933,8.11933,454.422,PAL,C21,C,F,H,30,0.523,0.321,1,1
C21_26,0,1,0,1,0,0,0,0,0,900.003,0,0,900.003,0,0,PAL,C21,C,F,H,30,0.487,0.22199999999999998,0,1
C21_30,0,2,0,5,0,0,0,7,8,260.188,49.174,660.848,130.094,7.024859999999999,82.606,PAL,C21,C,F,H,30,0.585,0.32599999999999996,1,13
C22_36,0,1,0,0,0,0,0,23,0,23.521,173.136,0,23.521,7.5276499999999995,0,PAL,C22,C,M,H,30,0.317,0.146,0,0
C23_38,0,4,0,1,1,0,0,27,3,183.152,218.85,809.029,45.788,8.10556,269.67633,PAL,C23,C,F,H,30,0.547,0.29600000000000004,1,5
C23_42,0,1,0,1,0,0,0,6,0,224.724,38.979,0,224.724,6.4965,0,PAL,C23,C,F,H,30,0.568,0.2869999999999999,0,1
C24_44,0,3,0,2,0,0,0,24,3,11.815,134.347,774.984,3.93833,5.59779,258.328,PAL,C24,C,M,H,30,0.284,0.10799999999999998,1,5
C24_46,0,1,0,0,0,0,0,13,4,5.715,518.35,405.657,5.715,39.87308,101.41425,PAL,C24,C,M,H,30,0.359,0.182,1,4
C31_50,0,2,0,7,0,0,0,24,10,165.538,226.246,895.129,82.769,9.42692,89.51289999999999,PAL,C31,C,F,M,25,0.555,0.555,1,17
C31_52,0,2,0,7,0,0,1,14,6,37.553,116.621,583.816,18.7765,8.33007,97.30266999999999,PAL,C31,C,F,M,25,0.571,0.29999999999999993,1,13
C32_55,0,7,0,1,0,0,1,19,7,65.646,222.759,872.106,9.378,11.72416,124.58657000000001,PAL,C32,C,M,M,25,0.293,0.12799999999999997,1,8
C32_60,0,3,0,4,0,0,0,12,4,424.286,180.974,879.867,141.42867,15.08117,219.96675,PAL,C32,C,M,M,25,0.381,0.20900000000000002,1,8
C33_63,0,2,0,5,0,0,0,10,10,201.671,116.636,887.623,100.8355,11.6636,88.7623,PAL,C33,C,F,M,25,0.582,0.32299999999999995,1,15
C34_70,0,1,0,2,0,0,0,14,0,5.74,264.888,0,5.74,18.92057,0,PAL,C34,C,M,M,25,0.331,0.14200000000000002,0,2
D12_10,1,7,0,20,0,0,0,16,11,221.119,209.49,854.091,31.58843,13.09312,77.64464,PAL,D12,D,F,M,25.3,0.492,0.267,1,32
D12_7,1,7,1,7,0,0,0,7,9,556.905,81.849,857.844,79.55786,11.69271,95.316,PAL,D12,D,F,M,25.3,0.405,0.14800000000000002,1,18
D12_8,1,8,0,16,0,1,2,33,14,92.819,370.664,601.081,11.602379999999998,11.23224,42.93436,PAL,D12,D,F,M,25.3,0.291,0.05199999999999999,1,32
D13_14,0,16,0,13,2,2,0,31,17,464.81,268.317,892.875,29.05062,8.655389999999999,52.522059999999996,PAL,D13,D,M,M,25.1,0.318,0.155,1,34
D13_16,0,2,0,21,2,11,0,16,15,185.035,323.938,863.842,92.5175,20.246119999999998,57.58947,PAL,D13,D,M,M,25.1,0.302,0.13799999999999998,1,49
D14_20,0,0,0,0,0,0,0,22,0,0,128.502,0,0,5.841,0,PAL,D14,D,F,M,25.3,0.428,0.183,0,0
D14_24,0,14,0,10,0,0,1,16,18,561.13,263.881,833.317,40.080709999999996,16.49256,46.29539,PAL,D14,D,F,M,25.3,0.486,0.293,1,28
D21_26,0,4,0,0,0,1,0,49,0,97.294,319.931,0,24.3235,6.5291999999999994,0,PAL,D21,D,M,H,30.6,0.256,0.10300000000000001,0,1
D21_30,0,1,0,4,0,0,0,22,6,65.761,278.99,851.833,65.761,12.68136,141.97217,PAL,D21,D,M,H,30.6,0.281,0.12800000000000003,1,10
D22_32,0,6,0,6,0,0,0,9,2,709.798,57.909,459.436,118.29966999999999,6.43433,229.718,PAL,D22,D,F,H,30.2,0.418,0.19299999999999998,1,8
D22_34,0,2,0,1,0,0,0,25,0,54.748,337.525,0,27.374,13.501,0,PAL,D22,D,F,H,30.2,0.402,0.11800000000000005,0,1
D23_39,0,1,0,7,0,0,0,19,8,33.776,214.093,870.343,33.776,11.268049999999999,108.79288000000001,PAL,D23,D,M,H,30.3,0.265,0.08900000000000002,1,15
D23_42,3,5,0,12,0,0,1,12,6,253.813,301.398,894.594,50.7626,25.1165,149.099,PAL,D23,D,M,H,30.3,0.248,0.07600000000000001,1,21
D24_44,0,5,0,4,0,0,0,26,2,87.243,354.28,609.586,17.4486,13.626149999999999,304.793,PAL,D24,D,F,H,30.3,0.37,0.161,1,6
D24_46,0,2,0,1,0,0,3,27,5,3.848,548.377,877.614,1.924,20.31026,175.5228,PAL,D24,D,F,H,30.3,0.448,0.215,1,6
D24_47,0,3,0,3,0,0,0,44,7,52.81,400.53,791.513,17.603330000000003,9.10295,113.07329,PAL,D24,D,F,H,30.3,0.417,0.19599999999999998,1,10
D24_48,0,1,0,4,0,0,0,13,4,1.516,99.893,882.619,1.516,7.68408,220.65475,PAL,D24,D,F,H,30.3,0.323,0.137,1,8
D31_53,0,4,0,3,0,0,0,6,6,423.798,47.432,881.373,105.9495,7.90533,146.8955,PAL,D31,D,M,L,20.6,0.246,0.064,1,9
D31_54,0,2,0,14,0,0,0,1,3,895.631,4.364,900.003,447.8155,4.364,300.001,PAL,D31,D,M,L,20.6,0.317,0.14200000000000002,1,17
D32_56,0,4,0,0,1,0,0,9,2,479.494,185.764,874.351,119.8735,20.640439999999998,437.1755,PAL,D32,D,F,L,21.1,0.496,0.496,1,3
D32_57,0,2,0,5,1,1,0,25,9,14.278,463.746,885.844,7.139,18.54984,98.42711,PAL,D32,D,F,L,21.1,0.307,0.07699999999999999,1,16
D32_58,0,2,0,19,0,0,1,5,17,717.651,149.652,751.486,358.8255,29.930400000000002,44.205059999999996,PAL,D32,D,F,L,21.1,0.443,0.221,1,36
D32_60,0,5,0,10,0,0,0,6,10,640.012,90.915,792.03,128.0024,15.1525,79.203,PAL,D32,D,F,L,21.1,NA,NA,1,20
D33_62,0,3,0,3,0,0,0,2,6,866.299,17.918,750.986,288.76633000000004,8.959,125.16433,PAL,D33,D,M,L,21.1,NA,-0.17,1,9
D33_64,0,4,0,2,0,0,0,7,8,491.447,66.538,759.98,122.86175,9.50543,94.9975,PAL,D33,D,M,L,21.1,0.317,0.126,1,10
D33_65,0,1,0,7,0,0,1,20,5,164.826,121.984,855.839,164.826,6.0992,171.1678,PAL,D33,D,M,L,21.1,NA,NA,1,12
D34_69,0,2,0,3,1,0,0,13,7,84.058,124.012,709.176,42.029,9.53938,101.31086,PAL,D34,D,F,L,21.3,0.413,0.16199999999999998,1,11
A11_5,0,1,0,2,0,0,0,12,2,9.054,88.991,19.415,9.054,7.41592,9.7075,PAL,A11,A,F,M,24.6,0.432,0.432,1,4
C14_20,0,2,0,7,0,0,0,33,8,35.533,369.524,898.843,17.7665,11.197700000000001,112.35538000000001,PAL,C14,C,M,L,20.9,0.336,0.169,1,15
A31_40,0,5,0,11,0,0,0,5,8,830.944,32.229,667.438,166.1888,6.4458,83.42975,PAL,A31,A,F,H,30.4,0.474,0.259,1,19
D22_36,0,10,0,11,0,0,1,13,10,715.528,183.979,814.053,71.5528,14.15223,81.4053,PAL,D22,D,F,H,30.2,0.415,0.18,1,21
D32_55,1,6,0,11,0,6,0,6,8,798.034,111.835,473.753,133.00567,18.63917,59.219120000000004,PAL,D32,D,F,L,21.1,0.496,0.277,1,26
D32_59,1,4,0,14,0,0,0,4,17,828.492,26.894,873.111,207.123,6.7235,51.35947,PAL,D32,D,F,L,21.1,0.402,0.19000000000000003,1,32
A31_39,0,0,0,3,0,0,0,20,1,0,148.232,260.752,0,7.4116,260.752,PAL,A31,A,F,H,30.4,0.451,0.232,1,4
B12_6,0,7,0,3,0,0,0,22,2,148.391,363.079,667.659,21.19871,16.50359,333.8295,PAL,B12,B,F,H,30.2,0.435,0.23,1,5
D31_49,0,0,0,0,0,0,0,17,1,0,215.094,493.003,0,12.65259,493.003,PAL,D31,D,M,L,20.6,0.281,0.12300000000000003,1,1
A21_26,0,3,0,4,2,0,0,11,3,300.403,110.043,878.351,100.13433,10.00391,292.78367,PAL,A21,A,F,L,20.9,0.524,0.30600000000000005,1,9
D22_35,0,2,0,1,0,0,0,23,2,493.979,250.884,448.692,246.9895,10.908,224.346,PAL,D22,D,F,H,30.2,0.466,0.20500000000000002,1,3
B11_1,0,5,0,0,0,0,0,6,0,636.477,49.108,0,127.2954,8.18467,0,PAL,B11,B,M,H,30.2,0.371,0.218,0,0
D23_40,0,0,0,1,0,0,0,9,3,0,105.627,369.4,0,11.73633,123.13333,PAL,D23,D,M,H,30.3,0.283,0.11499999999999996,1,4
B32_26,0,6,0,1,0,0,0,26,3,108.791,281.909,351.101,18.13183,10.842649999999999,117.03367,PAN,B32,B,F,M,25.5,0.236,0.354,1,4
